E,<I>,I (raw),j,j
V vs. RHE,mA,\g(m)A,\g(m)A cm\+(-2),mA cm\+(-2)
0.49555507,0.0514637703696886,51.4637703696886,182.015854321826,0.182015854321826
0.49616376,0.0472121042192965,47.2121042192965,166.97866133935,0.16697866133935
0.49736062,0.0384805248500523,38.4805248500523,136.097016503474,0.136097016503474
0.49835631,0.0294357152128619,29.4357152128619,104.107546212717,0.104107546212717
0.49907362,0.0207573438819963,20.7573438819963,73.4140863172896,0.0734140863172896
0.49932286,0.0131061795545975,13.1061795545975,46.3536280258695,0.0463536280258695
0.49907765,0.00696267864906178,6.96267864906178,24.6254383146351,0.0246254383146352
0.49842057,0.00250761938968936,2.50761938968936,8.86888936138096,0.00886888936138096
0.49746248,-3.79930589957667E-4,-0.379930589957667,-1.34372958719073,-0.00134372958719073
0.49626932,-0.0020268663321177,-2.0268663321177,-7.16857323873493,-0.00716857323873493
0.49508658,-0.00282785508999141,-2.82785508999141,-10.0014914648824,-0.0100014914648824
0.49389553,-0.00315209399741434,-3.15209399741434,-11.1482520173063,-0.0111482520173063
0.49274155,-0.00329608284098665,-3.29608284098664,-11.6575083774089,-0.0116575083774089
0.4916296,-0.00344244802019805,-3.44244802019805,-12.1751693055873,-0.0121751693055873
0.4905557,-0.00367687520560543,-3.67687520560543,-13.0042858689807,-0.0130042858689807
0.48950952,-0.00402468681891655,-4.02468681891655,-14.2344178139414,-0.0142344178139414
0.48852572,-0.00448230434711958,-4.48230434711958,-15.8529087396971,-0.0158529087396971
0.48753184,-0.0050375769569655,-5.0375769569655,-17.8167838645975,-0.0178167838645975
0.48653615,-0.00568164599947825,-5.68164599947825,-20.0947121270057,-0.0200947121270057
0.48556489,-0.00640962278905335,-6.40962278905335,-22.6694033384956,-0.0226694033384956
0.48464784,-0.00723047252015222,-7.23047252015222,-25.5725653882742,-0.0255725653882742
0.48366806,-0.00818036050542206,-8.18036050542206,-28.932106904703,-0.028932106904703
0.48264867,-0.00929438318255256,-9.29438318255256,-32.8721561442982,-0.0328721561442982
0.48169494,-0.0105852329733251,-10.5852329733251,-37.4376033663114,-0.0374376033663114
0.48071674,-0.0120673018811632,-12.0673018811632,-42.6793498704279,-0.0426793498704279
0.47971314,-0.0137776399319086,-13.7776399319086,-48.7284333178564,-0.0487284333178564
0.47877762,-0.0157408172364941,-15.7408172364941,-55.67175269987,-0.05567175269987
0.47778311,-0.0179745021855019,-17.9745021855019,-63.5717971653045,-0.0635717971653045
0.47679844,-0.0204865789516285,-20.4865789516285,-72.4564512709791,-0.0724564512709791
0.47585854,-0.023273401267943,-23.273401267943,-82.3128189856514,-0.0823128189856514
0.47487247,-0.0263076305272989,-26.3076305272989,-93.0442097656637,-0.0930442097656637
0.47390106,-0.0295418473122279,-29.5418473122279,-104.482911729046,-0.104482911729046
0.47291675,-0.032909506676434,-32.909506676434,-116.393570272671,-0.116393570272671
0.47193143,-0.0363319074224112,-36.3319074224112,-128.497836849641,-0.128497836849641
0.47094402,-0.0397229788456267,-39.7229788456267,-140.491298613695,-0.140491298613695
0.46996954,-0.0429759018944523,-42.9759018944523,-151.996160451876,-0.151996160451876
0.46898264,-0.0459563704595591,-45.9563704595591,-162.537411671138,-0.162537411671138
0.46790841,-0.0485096270729424,-48.5096270729424,-171.567709693405,-0.171567709693405
0.46691209,-0.0504867189835446,-50.4867189835446,-178.560241927168,-0.178560241927168
0.46582752,-0.0517522347605942,-51.7522347605942,-183.036088404462,-0.183036088404462
0.46474746,-0.0522120423589109,-52.2120423589109,-184.662325118758,-0.184662325118757
0.46368599,-0.0518341991474801,-51.8341991474801,-183.325978122915,-0.183325978122915
0.46263537,-0.05069872702653,-50.69872702653,-179.310066994198,-0.179310066994198
0.46162054,-0.0490120180539735,-49.0120180539735,-173.344554315535,-0.173344554315536
0.46059716,-0.047060771874385,-47.060771874385,-166.443432656187,-0.166443432656187
0.45953423,-0.0451254098669678,-45.1254098669678,-159.598489763905,-0.159598489763905
0.45843276,-0.0433995456777566,-43.3995456777566,-153.49449383461,-0.15349449383461
0.45743942,-0.0419125779169714,-41.9125779169714,-148.235421182449,-0.148235421182449
0.45646748,-0.0406013216997964,-40.6013216997964,-143.597800990818,-0.143597800990818
0.45551571,-0.0393825289081885,-39.3825289081885,-139.287203271059,-0.139287203271059
0.45455691,-0.0381577231908319,-38.1577231908319,-134.955339176737,-0.134955339176737
0.45347989,-0.0368223137662021,-36.8223137662021,-130.232294488263,-0.130232294488263
0.45241937,-0.0352801798597081,-35.280179859708,-124.778111507637,-0.124778111507637
0.45145774,-0.033450517554431,-33.450517554431,-118.307004839332,-0.118307004839332
0.45049733,-0.0313514008804406,-31.3514008804406,-110.882898288394,-0.110882898288394
0.44941932,-0.0290932903460796,-29.0932903460796,-102.896465986362,-0.102896465986362
0.44835809,-0.0267965792833516,-26.7965792833516,-94.7735122422063,-0.0947735122422063
0.44741285,-0.024541150765597,-24.541150765597,-86.7965656335158,-0.0867965656335158
0.44646615,-0.0224014769321204,-22.4014769321204,-79.2290174734673,-0.0792290174734673
0.44532394,-0.020449814625964,-20.449814625964,-72.3264240674467,-0.0723264240674467
0.4443543,-0.0186999854276008,-18.6999854276008,-66.1376692566461,-0.0661376692566461
0.44342834,-0.017130911862801,-17.130911862801,-60.5882067252527,-0.0605882067252527
0.44248506,-0.0157406895507139,-15.7406895507139,-55.6713011038016,-0.0556713011038016
0.44154894,-0.0145317633481075,-14.5317633481075,-51.3955993042874,-0.0513955993042874
0.44053176,-0.0134928865211097,-13.4928865211097,-47.7213241425026,-0.0477213241425026
0.43942443,-0.0125892781013843,-12.5892781013843,-44.5254631065303,-0.0445254631065303
0.43845022,-0.0117630635561202,-11.7630635561202,-41.6033269080145,-0.0416033269080145
0.43748516,-0.0109857293815973,-10.9857293815973,-38.8540696566906,-0.0388540696566906
0.43654448,-0.0102714620354365,-10.2714620354365,-36.327865682677,-0.036327865682677
0.43556902,-0.0096362063672536,-9.6362063672536,-34.0811083556001,-0.0340811083556001
0.43460009,-0.00908579424625103,-9.08579424625103,-32.1344236934834,-0.0321344236934834
0.43362004,-0.00861162377421146,-8.61162377421146,-30.4573887047431,-0.0304573887047431
0.43265972,-0.00820015985583367,-8.20015985583367,-29.0021327822145,-0.0290021327822145
