t,E,I
0,-0.063407756,3.3024287e-06
0.0099999998,-0.062820271,3.3297908e-06
0.02,-0.062498368,3.3153051e-06
0.029999999,-0.061870649,3.34991e-06
0.039999999,-0.061500456,3.2790904e-06
0.050000001,-0.060832497,3.2823095e-06
0.059999999,-0.060430113,3.2171233e-06
0.07,-0.059931155,3.3000144e-06
0.079999998,-0.059456345,3.287138e-06
0.090000004,-0.058812529,3.3917579e-06
0.1,-0.058458429,3.3370338e-06
0.11,-0.0578629,3.2605808e-06
0.12,-0.057589281,3.2879429e-06
0.13,-0.056953512,3.2726523e-06
0.14,-0.056422368,3.225171e-06
0.15000001,-0.05589122,3.3241574e-06
0.16,-0.055360071,3.2235614e-06
0.17,-0.05487721,3.232414e-06
0.18000001,-0.05443459,3.3539338e-06
0.19,-0.053911489,3.2026376e-06
0.2,-0.053388391,3.273457e-06
0.20999999,-0.052857243,3.2420712e-06
0.22,-0.052285857,3.1704467e-06
0.23,-0.051939808,3.2589712e-06
0.23999999,-0.051320136,3.1801039e-06
0.25,-0.050869465,3.2549474e-06
0.25999999,-0.050386604,3.2589712e-06
0.27000001,-0.049976174,3.2291948e-06
0.28,-0.049428929,3.2308044e-06
0.28999999,-0.048962165,3.1752754e-06
0.30000001,-0.048350539,3.1953946e-06
0.31,-0.047924012,3.1157224e-06
0.31999999,-0.047392868,3.2428759e-06
0.33000001,-0.04693415,3.2533378e-06
0.34,-0.046443239,3.2171233e-06
0.34999999,-0.045863807,3.2686285e-06
0.36000001,-0.045364849,3.2098803e-06
0.37,-0.044914179,3.1495229e-06
0.38,-0.044318654,3.1334273e-06
0.38999999,-0.04390822,3.2130995e-06
0.40000001,-0.043457549,3.1736658e-06
0.41,-0.042934451,3.186542e-06
0.41999999,-0.042459637,3.0867509e-06
0.43000001,-0.041815821,3.2219518e-06
0.44,-0.041349057,3.1744705e-06
0.44999999,-0.040946674,3.1656182e-06
0.46000001,-0.040399432,3.232414e-06
0.47,-0.039852187,3.1567656e-06
0.47999999,-0.039409567,3.1599848e-06
0.49000001,-0.03901523,3.2002231e-06
0.5,-0.038403604,3.1599848e-06
0.50999999,-0.03793684,3.2098803e-06
0.51999998,-0.037349358,3.169642e-06
0.52999997,-0.036842354,3.1406703e-06
0.54000002,-0.036311209,3.1680324e-06
0.55000001,-0.035876632,3.1527418e-06
0.56,-0.035442058,3.1205511e-06
0.56999999,-0.034862626,3.0867509e-06
0.57999998,-0.034411956,3.1760801e-06
0.58999997,-0.033896904,3.0867509e-06
0.60000002,-0.03338185,3.0795079e-06
0.61000001,-0.032923132,3.1294035e-06
0.62,-0.03231151,3.0529507e-06
0.63,-0.031844743,3.093189e-06
0.63999999,-0.031418215,3.1108939e-06
0.64999998,-0.030862926,2.9982264e-06
0.66000003,-0.030404208,3.1640086e-06
0.67000002,-0.029913301,3.1543514e-06
0.68000001,-0.029390201,3.0440981e-06
0.69,-0.028923435,3.1358418e-06
0.69999999,-0.02838424,3.1181369e-06
0.70999998,-0.028030142,3.0626079e-06
0.72000003,-0.027370233,3.0843366e-06
0.73000002,-0.026935657,3.0078836e-06
0.74000001,-0.026412558,3.1149177e-06
0.75,-0.025986031,3.0867509e-06
0.75999999,-0.025342217,3.1100892e-06
0.76999998,-0.024883498,3.0440981e-06
0.77999997,-0.024497209,3.1688371e-06
0.79000002,-0.024006302,2.9523546e-06
0.80000001,-0.023547582,3.1084796e-06
0.81,-0.022911817,3.0400743e-06
0.81999999,-0.022461146,3.138256e-06
0.82999998,-0.021986332,3.0191502e-06
0.83999997,-0.021390805,3.1165273e-06
0.85000002,-0.021004515,3.0907747e-06
0.86000001,-0.020489464,2.9877644e-06
0.87,-0.020014651,3.0907747e-06
0.88,-0.01953179,3.0738745e-06
0.88999999,-0.018879928,3.0030549e-06
0.89999998,-0.018421208,3.0593887e-06
0.91000003,-0.017930301,2.9708642e-06
0.92000002,-0.017383058,3.0626079e-06
0.93000001,-0.01689215,3.006274e-06
0.94,-0.016361002,3.0947986e-06
0.94999999,-0.015966667,3.0111025e-06
0.95999998,-0.015387233,3.0352458e-06
