t,E,I
7.5799999,-0.12379273,-8.0437042e-07
7.5900002,-0.12421926,-8.0767529e-07
7.5999999,-0.12491133,-8.0814885e-07
7.6100001,-0.12537006,-8.0464787e-07
7.6199999,-0.12578854,-7.9891583e-07
7.6300001,-0.12636802,-7.9454981e-07
7.6399999,-0.12675425,-7.9448728e-07
7.6500001,-0.12734982,-7.992748e-07
7.6599998,-0.12784877,-8.0723515e-07
7.6700001,-0.12832358,-8.1591298e-07
7.6799998,-0.12875816,-8.2358281e-07
7.6900001,-0.12931344,-8.2995581e-07
7.6999998,-0.12978825,-8.3574719e-07
7.71,-0.13012627,-8.4149156e-07
7.7199998,-0.13084248,-8.4671115e-07
7.73,-0.13129315,-8.5023976e-07
7.7399998,-0.13176802,-8.5114135e-07
7.75,-0.13237157,-8.4903752e-07
7.7600002,-0.13278201,-8.4375887e-07
7.77,-0.13329706,-8.3534826e-07
7.7800002,-0.13374773,-8.2477072e-07
7.79,-0.134303,-8.1433109e-07
7.8000002,-0.13469735,-8.0690086e-07
7.8099999,-0.13534114,-8.0443073e-07
7.8200002,-0.13582405,-8.0694906e-07
7.8299999,-0.13631496,-8.1267609e-07
7.8400002,-0.13673344,-8.1899339e-07
7.8499999,-0.13730481,-8.2359816e-07
7.8600001,-0.13774744,-8.2526373e-07
7.8699999,-0.13826248,-8.2401385e-07
7.8800001,-0.13877752,-8.2088025e-07
7.8899999,-0.13925233,-8.17439e-07
7.9000001,-0.13970301,-8.1518328e-07
7.9099998,-0.14021805,-8.1486837e-07
7.9200001,-0.14081362,-8.1619993e-07
7.9299998,-0.14123204,-8.1819292e-07
7.9400001,-0.14169881,-8.200762e-07
7.9499998,-0.1422461,-8.22049e-07
7.96,-0.14266458,-8.2510928e-07
7.9699998,-0.14332446,-8.2993535e-07
7.98,-0.14386365,-8.3587037e-07
7.9899998,-0.14420971,-8.4117625e-07
8,-0.14464429,-8.4446958e-07
8.0100002,-0.1452398,-8.4592148e-07
8.0200005,-0.14578709,-8.470044e-07
8.0299997,-0.14619747,-8.4908532e-07
8.04,-0.14680108,-8.5219153e-07
8.0500002,-0.14731613,-8.548588e-07
8.0600004,-0.14772657,-8.5500278e-07
8.0699997,-0.14818528,-8.5124424e-07
8.0799999,-0.14875665,-8.4399528e-07
8.0900002,-0.14927974,-8.3564402e-07
8.1000004,-0.14978674,-8.2957087e-07
8.1099997,-0.15018913,-8.2845588e-07
8.1199999,-0.15077665,-8.3287944e-07
8.1300001,-0.15126756,-8.4118568e-07
8.1400003,-0.15170214,-8.5078341e-07
8.1499996,-0.15219304,-8.5981628e-07
8.1599998,-0.1526598,-8.6766255e-07
8.1700001,-0.1532875,-8.7392351e-07
8.1800003,-0.15373817,-8.7725118e-07
8.1899996,-0.15419689,-8.755004e-07
8.1999998,-0.15480044,-8.6719757e-07
8.21,-0.15524307,-8.5300076e-07
8.2200003,-0.1556696,-8.3589566e-07
8.2299995,-0.15631345,-8.199205e-07
8.2399998,-0.15663537,-8.0826516e-07
8.25,-0.15714237,-8.0196793e-07
8.2600002,-0.1576896,-7.9997494e-07
8.2700005,-0.15813223,-8.0039729e-07
8.2799997,-0.1587036,-8.0205285e-07
8.29,-0.15913013,-8.0523392e-07
8.3000002,-0.1596854,-8.1111307e-07
8.3100004,-0.16021654,-8.2013236e-07
8.3199997,-0.16071555,-8.306983e-07
8.3299999,-0.16119841,-8.3961532e-07
8.3400002,-0.16167322,-8.4428899e-07
8.3500004,-0.1622124,-8.4482673e-07
8.3599997,-0.16262284,-8.4398096e-07
8.3699999,-0.16329077,-8.450034e-07
8.3800001,-0.16374144,-8.4954627e-07
8.3900003,-0.16415992,-8.5728169e-07
8.3999996,-0.16475543,-8.667227e-07
8.4099998,-0.16515782,-8.7578735e-07
8.4200001,-0.16562459,-8.818941e-07
8.4300003,-0.16611549,-8.825611e-07
8.4399996,-0.16667083,-8.7672078e-07
8.4499998,-0.1671215,-8.6555548e-07
8.46,-0.16764459,-8.5195194e-07
8.4700003,-0.16819182,-8.3927233e-07
8.4799995,-0.16864249,-8.3056653e-07
8.4899998,-0.16916558,-8.2810374e-07
8.5,-0.16952774,-8.3248119e-07
8.5100002,-0.1701152,-8.4178629e-07
8.5200005,-0.17071077,-8.522515e-07
8.5299997,-0.17110512,-8.6048698e-07
8.54,-0.17147526,-8.6531628e-07
8.5500002,-0.17204669,-8.6752425e-07
8.5600004,-0.17252955,-8.6823235e-07
8.5699997,-0.1730285,-8.6791778e-07
8.5799999,-0.1735355,-8.667613e-07
8.5900002,-0.17408273,-8.6521453e-07
8.6000004,-0.17460582,-8.6382619e-07
8.6099997,-0.17506453,-8.6278851e-07
8.6199999,-0.17559567,-8.620658e-07
8.6300001,-0.17609468,-8.6194035e-07
8.6400003,-0.17660972,-8.6308285e-07
8.6499996,-0.17702016,-8.6590518e-07
8.6599998,-0.177672,-8.6997557e-07
8.6700001,-0.17818704,-8.742179e-07
8.6800003,-0.17852506,-8.7761197e-07
8.6899996,-0.17903206,-8.7961268e-07
8.6999998,-0.17952296,-8.8014639e-07
8.71,-0.18002191,-8.7972148e-07
8.7200003,-0.1804404,-8.7970926e-07
8.7299995,-0.18101981,-8.8193815e-07
8.7399998,-0.18163952,-8.8720287e-07
8.75,-0.18211433,-8.9404358e-07
8.7600002,-0.18246844,-8.9965482e-07
8.7700005,-0.18301567,-9.0253047e-07
8.7799997,-0.18353876,-9.0394735e-07
8.79,-0.18399748,-9.0634273e-07
8.8000002,-0.18453667,-9.1039107e-07
8.8100004,-0.18501148,-9.1429007e-07
8.8199997,-0.18547019,-9.160434e-07
8.8299999,-0.18613818,-9.1589578e-07
8.8400002,-0.18656471,-9.1606938e-07
8.8500004,-0.1869671,-9.1820971e-07
8.8599997,-0.18745801,-9.2139481e-07
8.8699999,-0.18810984,-9.2277133e-07
8.8800001,-0.18852833,-9.2017217e-07
8.8900003,-0.18909165,-9.1423891e-07
8.8999996,-0.18957451,-9.0814984e-07
8.9099998,-0.18996885,-9.0530989e-07
8.9200001,-0.19060466,-9.070792e-07
8.9300003,-0.19106337,-9.1226462e-07
8.9399996,-0.19141743,-9.1836739e-07
8.9499998,-0.19198081,-9.2333221e-07
8.96,-0.19247976,-9.2660309e-07
8.9700003,-0.19306722,-9.2906038e-07
8.9799995,-0.19353399,-9.3211975e-07
8.9899998,-0.19395247,-9.3662749e-07
9,-0.19447556,-9.4218757e-07
9.0100002,-0.19507113,-9.473095e-07
9.0200005,-0.19547346,-9.503845e-07
9.0299997,-0.19594827,-9.5098801e-07
9.04,-0.19647142,-9.5052019e-07
9.0500002,-0.19696233,-9.5137091e-07
9.0600004,-0.19755784,-9.5502628e-07
9.0699997,-0.19804069,-9.6080907e-07
9.0799999,-0.1986523,-9.6654537e-07
9.0900002,-0.19907883,-9.7041664e-07
9.1000004,-0.19946513,-9.7198892e-07
9.1099997,-0.20003656,-9.715875e-07
9.1199999,-0.20039865,-9.6925851e-07
9.1300001,-0.20103446,-9.6481563e-07
9.1400003,-0.20146099,-9.5880409e-07
9.1499996,-0.2020404,-9.5299629e-07
9.1599998,-0.20247498,-9.4965202e-07
9.1700001,-0.20302221,-9.5018476e-07
9.1800003,-0.20344874,-9.5439793e-07
9.1899996,-0.20391551,-9.6080805e-07
9.1999998,-0.20440641,-9.6762824e-07
9.21,-0.20492145,-9.7360692e-07
9.2200003,-0.2055653,-9.7825955e-07
9.2299995,-0.20587912,-9.8164105e-07
9.2399998,-0.20637009,-9.8407349e-07
9.25,-0.20690927,-9.8596922e-07
9.2600002,-0.20752087,-9.8760756e-07
9.2700005,-0.20806006,-9.8892554e-07
9.2799997,-0.20844635,-9.8962778e-07
9.29,-0.20896944,-9.8945623e-07
9.3000002,-0.20951667,-9.8794601e-07
9.3100004,-0.20991907,-9.8380633e-07
9.3199997,-0.21036974,-9.7533905e-07
9.3299999,-0.21091703,-9.6249801e-07
9.3400002,-0.21140793,-9.4855608e-07
9.3500004,-0.21188274,-9.3876838e-07
9.3599997,-0.21246216,-9.3662595e-07
9.3699999,-0.21284845,-9.4142632e-07
9.3800001,-0.21329108,-9.4964162e-07
9.3900003,-0.2138705,-9.5834184e-07
9.3999996,-0.21435335,-9.6699841e-07
9.4099998,-0.21486035,-9.7637974e-07
9.4200001,-0.21527883,-9.8653106e-07
9.4300003,-0.21588245,-9.9608803e-07
9.4399996,-0.21637335,-1.0029773e-06
9.4499998,-0.21683207,-1.0053051e-06
9.46,-0.21741953,-1.0020771e-06
9.4700003,-0.21792653,-9.9417446e-07
9.4799995,-0.21832892,-9.8513203e-07
9.4899998,-0.21890834,-9.8031683e-07
9.5,-0.21952805,-9.8418616e-07
9.5100002,-0.21980968,-9.9755118e-07
9.5200005,-0.22042134,-1.0171567e-06
9.5299997,-0.22084787,-1.0376472e-06
