t,E,I
189.49001,-0.59990501,-1.8577452e-06
189.5,-0.59931755,-1.8690121e-06
189.50999,-0.59877837,-1.8255545e-06
189.52,-0.59827137,-1.7973877e-06
189.53,-0.59776437,-1.8199212e-06
189.53999,-0.59737808,-1.8046305e-06
189.55,-0.59679055,-1.8311879e-06
189.56,-0.59629965,-1.778878e-06
189.57001,-0.5958007,-1.8038257e-06
189.58,-0.59520519,-1.8030211e-06
189.59,-0.59486717,-1.7756589e-06
189.60001,-0.59427971,-1.7965829e-06
189.61,-0.59376466,-1.7676113e-06
189.62,-0.59327376,-1.7716351e-06
189.63,-0.59287137,-1.7829018e-06
189.64,-0.59234828,-1.7217394e-06
189.64999,-0.59183323,-1.7603683e-06
189.66,-0.5912618,-1.726568e-06
189.67,-0.59078699,-1.7096679e-06
189.67999,-0.59036046,-1.712887e-06
189.69,-0.58984542,-1.6782819e-06
189.7,-0.58920163,-1.702425e-06
189.71001,-0.58881533,-1.7458825e-06
189.72,-0.58834052,-1.7056441e-06
189.73,-0.58779329,-1.712887e-06
189.74001,-0.58728623,-1.6798915e-06
189.75,-0.58681142,-1.6646009e-06
189.75999,-0.58630443,-1.6839153e-06
189.77,-0.58577329,-1.6734533e-06
189.78,-0.5853548,-1.6694295e-06
189.78999,-0.58481562,-1.6388483e-06
189.8,-0.58422816,-1.6557484e-06
189.81,-0.583866,-1.6428721e-06
189.82001,-0.58329463,-1.5841241e-06
189.83,-0.58281177,-1.6211434e-06
189.84,-0.5823369,-1.5994146e-06
189.85001,-0.58178163,-1.622753e-06
189.86,-0.58131486,-1.5680287e-06
189.87,-0.58088028,-1.5961956e-06
189.88,-0.58038938,-1.5889526e-06
189.89,-0.57977778,-1.5728573e-06
189.89999,-0.57919836,-1.6203386e-06
189.91,-0.57881206,-1.5712477e-06
189.92,-0.57836139,-1.528595e-06
189.92999,-0.5778141,-1.5615906e-06
189.94,-0.57738763,-1.5398618e-06
189.95,-0.57683229,-1.5535429e-06
189.96001,-0.57625288,-1.5084759e-06
189.97,-0.57579416,-1.4923805e-06
189.98,-0.57527107,-1.5133045e-06
189.99001,-0.57474798,-1.49399e-06
190,-0.57436168,-1.4931852e-06
190.00999,-0.57383054,-1.4465087e-06
190.02,-0.57325107,-1.4296086e-06
190.03,-0.57283258,-1.4271942e-06
190.03999,-0.57236582,-1.4424849e-06
190.05,-0.57174617,-1.4432896e-06
190.06,-0.57128745,-1.4127085e-06
190.07001,-0.57073218,-1.3998322e-06
190.08,-0.5704022,-1.3990274e-06
190.09,-0.56981474,-1.3507413e-06
190.10001,-0.56926751,-1.3764939e-06
190.11,-0.56880075,-1.3531555e-06
190.12,-0.56821322,-1.37247e-06
190.13,-0.56782693,-1.3652271e-06
190.14,-0.56735212,-1.3257935e-06
190.14999,-0.56682903,-1.3708604e-06
190.16,-0.56624961,-1.3290125e-06
190.17,-0.56582308,-1.3241839e-06
190.17999,-0.56529999,-1.3362554e-06
190.19,-0.56468028,-1.2984314e-06
190.2,-0.56435037,-1.3040647e-06
190.21001,-0.56371456,-1.2783121e-06
190.22,-0.56323975,-1.2702644e-06
190.23,-0.56276494,-1.2662406e-06
190.24001,-0.56233037,-1.2493405e-06
190.25,-0.56182337,-1.2203689e-06
190.25999,-0.56126809,-1.2412928e-06
190.27,-0.56084156,-1.2477309e-06
190.28,-0.56035066,-1.2074926e-06
190.28999,-0.55981952,-1.1897877e-06
190.3,-0.559232,-1.1801304e-06
190.31,-0.55880547,-1.174497e-06
190.32001,-0.55839509,-1.1833495e-06
190.33,-0.55792022,-1.1455254e-06
190.34,-0.55731666,-1.1519635e-06
190.35001,-0.55678552,-1.1197728e-06
190.36,-0.55623829,-1.0682676e-06
190.37,-0.55572325,-1.0666581e-06
190.38,-0.55533695,-1.0481484e-06
190.39,-0.55485409,-1.0384912e-06
190.39999,-0.55423439,-1.0956297e-06
190.41,-0.55373544,-1.0376864e-06
190.42,-0.55335718,-1.0465388e-06
190.42999,-0.55284214,-9.8698604e-07
190.44,-0.55240756,-9.9583849e-07
190.45,-0.55174768,-9.4433329e-07
190.46001,-0.55136138,-9.4030946e-07
190.47,-0.55081415,-9.7974316e-07
190.48,-0.55032325,-9.4352856e-07
190.49001,-0.54988062,-9.2179982e-07
190.5,-0.54938972,-8.7914708e-07
190.50999,-0.54877001,-8.9282815e-07
190.52,-0.54831129,-8.5902786e-07
190.53,-0.54794109,-8.6868511e-07
190.53999,-0.54737777,-8.0108458e-07
190.55,-0.54674202,-7.8257489e-07
190.56,-0.54632354,-7.9303686e-07
190.57001,-0.54576826,-8.2039901e-07
190.58,-0.54522902,-8.026941e-07
190.59,-0.54485083,-7.2946017e-07
190.60001,-0.54440016,-7.367031e-07
190.61,-0.54378849,-7.0451239e-07
190.62,-0.54332173,-7.3026496e-07
190.63,-0.54278255,-6.9565993e-07
190.64,-0.54233187,-7.2060772e-07
190.64999,-0.54186511,-6.9646467e-07
190.66,-0.54135811,-6.9887898e-07
190.67,-0.54071426,-6.4415474e-07
190.67999,-0.54027969,-5.8540667e-07
190.69,-0.53982097,-5.3873009e-07
190.7,-0.53935421,-5.3792536e-07
190.71001,-0.5387426,-5.3712057e-07
190.72,-0.53824365,-5.2826812e-07
190.73,-0.5377447,-5.5321595e-07
190.74001,-0.53730208,-5.0332034e-07
190.75,-0.53685141,-5.0251555e-07
190.75999,-0.53632832,-5.4355871e-07
190.77,-0.53585351,-4.5342469e-07
190.78,-0.53531426,-3.9065276e-07
190.78999,-0.53475899,-3.5041435e-07
190.8,-0.53431636,-3.7214309e-07
190.81,-0.53382546,-3.8260507e-07
190.82001,-0.5333426,-3.4397621e-07
190.83,-0.53274709,-3.0373778e-07
190.84,-0.53235275,-2.530374e-07
190.85001,-0.53186184,-2.3533249e-07
190.86,-0.53127432,-2.3452772e-07
190.87,-0.53087199,-2.5142785e-07
190.88,-0.53035688,-1.3956507e-07
190.89,-0.52980965,-1.5968428e-07
190.89999,-0.52927852,-1.5726997e-07
190.91,-0.52878761,-1.5002706e-07
190.92,-0.5283289,-1.0254573e-07
190.92999,-0.52774143,-8.7255131e-08
