t,E,I
299.98999,0.36329421,-1.8706215e-06
300,0.36266649,-1.844869e-06
300.01001,0.36210313,-1.918103e-06
300.01999,0.36174101,-1.8963741e-06
300.03,0.36125815,-1.8754502e-06
300.04001,0.36084771,-1.8360165e-06
300.04999,0.36023608,-1.955927e-06
300.06,0.35976931,-1.8891312e-06
300.07001,0.35918185,-1.9076408e-06
300.07999,0.35870701,-1.8682073e-06
300.09,0.35820806,-1.8730359e-06
300.10001,0.35781372,-1.8818884e-06
300.10999,0.35716188,-1.924541e-06
300.12,0.35659048,-1.9003979e-06
300.13,0.35609958,-1.9712177e-06
300.14001,0.35563281,-1.9100553e-06
300.14999,0.35508555,-1.9261506e-06
300.16,0.35443372,-1.8867169e-06
300.17001,0.35380599,-1.8907408e-06
300.17999,0.35354042,-1.8303831e-06
300.19,0.35306561,-1.9478794e-06
300.20001,0.35254249,-1.9776558e-06
300.20999,0.35226083,-1.9591459e-06
300.22,0.35173774,-1.9044218e-06
300.23001,0.35129511,-1.8923503e-06
300.23999,0.35084444,-1.924541e-06
300.25,0.35030523,-2.0017987e-06
300.26001,0.34970167,-1.9639747e-06
300.26999,0.34932342,-1.9366125e-06
300.28,0.34872788,-1.8609643e-06
300.29001,0.34832552,-2.0130656e-06
300.29999,0.3478024,-1.9921415e-06
300.31,0.34726322,-1.9655843e-06
300.32001,0.34675622,-1.9366125e-06
300.32999,0.34632164,-1.9213219e-06
300.34,0.34585488,-2.0098464e-06
300.35001,0.34533179,-2.0291609e-06
300.35999,0.3447282,-1.9132742e-06
300.37,0.3440361,-1.9325887e-06
300.38,0.34348884,-1.9470745e-06
300.39001,0.34284505,-2.0154798e-06
300.39999,0.34234607,-1.9269553e-06
300.41,0.34191149,-1.9148838e-06
300.42001,0.34141254,-1.9527079e-06
300.42999,0.34088141,-2.0106513e-06
300.44,0.34046292,-1.9543174e-06
300.45001,0.33998811,-1.9366125e-06
300.45999,0.33952135,-1.882693e-06
300.47,0.33908677,-2.0758375e-06
300.48001,0.33862001,-1.9881177e-06
300.48999,0.33835444,-2.0468658e-06
300.5,0.33779913,-1.9519032e-06
300.51001,0.33729213,-2.042842e-06
300.51999,0.336761,-2.0235275e-06
300.53,0.33638275,-2.050085e-06
300.54001,0.33582747,-2.0452562e-06
300.54999,0.33532044,-2.0388181e-06
300.56,0.33473298,-1.9470745e-06
300.57001,0.3343145,-2.1096378e-06
300.57999,0.33383968,-1.9977749e-06
300.59,0.33333269,-2.0798614e-06
300.60001,0.33290616,-2.042842e-06
300.60999,0.33229452,-2.0444515e-06
300.62,0.3318519,-2.0758375e-06
300.63,0.33126444,-2.0557181e-06
300.64001,0.33086205,-2.063766e-06
300.64999,0.33040333,-2.035599e-06
300.66,0.32988024,-2.0315751e-06
300.67001,0.32932493,-2.1096378e-06
300.67999,0.32882598,-2.0235275e-06
300.69,0.32832703,-2.0854948e-06
300.70001,0.32780391,-2.1015901e-06
300.70999,0.32736933,-2.1096378e-06
300.72,0.32685429,-2.0549135e-06
300.73001,0.32638752,-2.0420371e-06
300.73999,0.32597709,-2.0364039e-06
300.75,0.32538158,-2.1096378e-06
300.76001,0.32482627,-2.0862994e-06
300.76999,0.32423881,-2.1458522e-06
300.78,0.32384446,-2.0388181e-06
300.79001,0.32335356,-2.1281473e-06
300.79999,0.32295921,-2.0967614e-06
300.81,0.32241195,-2.0452562e-06
300.82001,0.32188082,-2.0951518e-06
300.82999,0.32138187,-2.074228e-06
300.84,0.32081851,-2.1072235e-06
300.85001,0.32031152,-2.1691906e-06
300.85999,0.31944236,-2.1040044e-06
300.87,0.31887099,-2.0967614e-06
300.88,0.31830764,-2.0299656e-06
300.89001,0.31776845,-2.1144663e-06
300.89999,0.3172856,-2.0452562e-06
300.91,0.31672224,-2.1007852e-06
300.92001,0.3162072,-2.0557181e-06
300.92999,0.31582898,-2.0943471e-06
300.94,0.31519321,-2.0476705e-06
