E / V,j / uA cm-2
0.2804,19.3839
0.2808,23.3579
0.281,26.792
0.2814,28.3686
0.2816,29.7293
0.2819,30.5932
0.2823,30.3664
0.2826,30.7983
0.2828,30.7983
0.2832,30.3664
0.2834,30.7768
0.2837,30.5176
0.2841,30.3016
0.2843,30.7443
0.2847,30.3448
0.285,30.3664
0.2852,30.6688
0.2856,30.1612
0.2858,30.3772
0.2861,30.4744
0.2865,29.9992
0.2867,30.3772
0.287,30.226
0.2873,29.8804
0.2876,30.3124
0.288,29.9452
0.2883,29.8156
0.2885,30.1504
0.2888,29.6213
0.2891,29.6969
0.2894,29.8588
0.2898,29.3405
0.2901,29.6321
0.2903,29.5889
0.2907,29.1569
0.2909,29.5565
0.2912,29.2649
0.2916,29.0273
0.2918,29.3945
0.2922,28.9194
0.2925,28.8977
0.2927,29.1569
0.2931,28.6278
0.2934,28.8437
0.2936,28.8977
0.294,28.401
0.2942,28.7574
0.2945,28.5846
0.2949,28.239
0.2951,28.617
0.2954,28.2174
0.2958,28.1094
0.296,28.4658
0.2963,27.9798
0.2967,28.1094
0.2969,28.2606
0.2973,27.7423
0.2975,28.0338
0.2978,27.9582
0.2982,27.5479
0.2984,27.9475
0.2988,27.6559
0.2991,27.4399
0.2993,27.8179
0.2997,27.3859
0.2999,27.3859
0.3003,27.6235
0.3006,27.0943
0.3008,27.3211
0.3011,27.3751
0.3015,26.9108
0.3017,27.2671
0.3021,27.0943
0.3024,26.792
0.3026,27.1915
0.3029,26.8136
0.3032,26.6948
0.3035,27.008
0.3039,26.4896
0.3041,26.63
0.3044,26.7812
0.3048,26.2952
0.305,26.5976
0.3053,26.5112
0.3057,26.0901
0.3059,26.4788
0.3063,26.1656
0.3066,25.9713
0.3068,26.3276
0.3071,25.8633
0.3075,25.8849
0.3078,26.1332
0.3081,25.6365
0.3083,25.8741
0.3086,25.8849
0.3089,25.4097
0.3093,25.7553
0.3096,25.5501
0.3099,25.2477
0.3101,25.6473
0.3104,25.2585
0.3108,25.1829
0.3111,25.4853
0.3114,24.9886
0.3116,25.1289
0.3119,25.2477
0.3123,24.751
0.3126,25.0642
0.3129,24.9778
0.3132,24.6106
0.3134,24.9886
0.3138,24.6646
0.3141,24.481
0.3144,24.8482
0.3147,24.4162
0.315,24.4702
0.3153,24.6646
0.3156,24.1462
0.3159,24.373
0.3162,24.3838
0.3165,23.9411
0.3168,24.2974
0.3171,24.0923
0.3174,23.8007
0.3176,24.1787
0.318,23.8007
0.3183,23.7467
0.3186,24.0167
0.3189,23.5091
0.3191,23.6495
0.3194,23.7575
0.3198,23.2931
0.3201,23.6171
0.3204,23.4983
0.3207,23.1311
0.3209,23.5199
0.3213,23.196
0.3216,23.034
0.3218,23.3579
0.3222,22.8936
0.3225,22.9476
0.3228,23.1528
0.3231,22.6668
0.3234,22.9152
0.3237,22.8936
0.324,22.4508
0.3243,22.7856
0.3246,22.5588
0.3249,22.2996
0.3251,22.6668
0.3255,22.2673
0.3258,22.2241
0.326,22.494
0.3264,22.0081
0.3267,22.1593
0.327,22.2349
0.3273,21.7597
0.3276,22.0729
0.3278,21.9433
0.3282,21.6085
0.3285,21.9757
0.3288,21.6517
0.3291,21.5005
0.3293,21.8029
0.3297,21.3385
0.33,21.4033
0.3303,21.5761
0.3306,21.0794
0.3309,21.3062
0.3311,21.263
0.3315,20.8526
0.3317,21.209
0.3321,20.9606
0.3324,20.7014
0.3326,21.047
0.333,20.6366
0.3333,20.615
0.3335,20.8634
0.3339,20.3558
0.3342,20.5178
0.3344,20.5718
0.3348,20.1183
0.3351,20.4206
0.3353,20.2695
0.3357,19.9347
0.3359,20.2803
0.3363,19.9455
0.3366,19.8159
0.3368,20.1075
0.3371,19.6431
0.3375,19.7079
0.3378,19.8267
0.3381,19.3408
0.3384,19.5891
0.3386,19.5243
0.339,19.1248
0.3393,19.4596
0.3396,19.2004
0.3399,18.9952
0.3401,19.3084
0.3405,18.898
0.3408,18.8656
0.3411,19.0708
0.3414,18.574
0.3417,18.7576
0.342,18.7792
0.3423,18.3473
0.3426,18.6388
0.3429,18.4552
0.3432,18.1421
0.3434,18.4552
0.3438,18.0881
0.3441,17.9693
0.3444,18.2285
0.3447,17.7641
0.345,17.8613
0.3453,17.9693
0.3456,17.5157
0.3459,17.7749
0.3462,17.6669
0.3465,17.2998
0.3468,17.613
0.3471,17.3214
0.3474,17.1162
0.3476,17.4077
0.348,16.9866
0.3483,17.0082
0.3486,17.181
0.3489,16.7166
0.3492,16.8786
0.3494,16.8678
0.3498,16.4683
0.3501,16.7598
0.3504,16.5655
0.3507,16.2955
0.3509,16.5978
0.3513,16.2415
0.3516,16.1659
0.3519,16.3711
0.3522,15.9283
0.3525,16.0255
0.3528,16.0903
0.3531,15.6584
0.3534,15.9175
0.3537,15.7987
0.354,15.464
0.3543,15.7771
0.3546,15.4748
0.3549,15.3236
0.3552,15.5936
0.3555,15.1832
0.3558,15.2156
0.3561,15.3668
0.3564,14.9348
0.3566,15.14
0.357,15.0968
0.3573,14.7189
0.3576,14.9888
0.3579,14.7728
0.3581,14.5461
0.3584,14.8484
0.3588,14.5029
0.3591,14.4597
0.3593,14.6649
0.3597,14.2545
0.3599,14.3841
0.3602,14.4381
