E / V,j / uA cm-2
0.0613,-0.7677
0.0619,-1.1672
0.0622,0.2906
0.0625,2.4288
0.0628,5.9384
0.0631,9.7936
0.0634,13.0765
0.0634,16.5969
0.064,19.3506
0.064,21.316
0.0646,23.2922
0.0646,22.7878
0.0649,24.2933
0.0652,25.4006
0.0655,26.1796
0.0658,26.6645
0.0661,26.9671
0.0667,27.1643
0.0671,27.277
0.0671,27.3826
0.0674,27.4937
0.0677,27.6064
0.068,27.7584
0.0683,27.801
0.0686,27.8595
0.0689,27.9278
0.0692,28.0052
0.0695,28.0834
0.0698,28.1574
0.0701,28.2216
0.0704,28.2695
0.0707,28.2978
0.071,28.306
0.0713,28.2926
0.0716,28.262
0.0719,28.2181
0.0722,28.1651
0.0726,28.1093
0.0728,28.055
0.0732,28.0062
0.0735,27.9667
0.0738,27.943
0.0741,27.941
0.0744,27.9638
0.0747,28.0101
0.075,28.0817
0.0753,28.1782
0.0756,28.2955
0.0759,28.4328
0.0762,28.5793
0.0765,28.7266
0.0768,28.8651
0.0771,28.9851
0.0774,29.0813
0.0777,29.1479
0.078,29.1827
0.0783,29.1882
0.0787,29.1673
0.079,29.1231
0.0793,29.0601
0.0796,28.9849
0.0799,28.9007
0.0802,28.8161
0.0805,28.74
0.0808,28.6765
0.0811,28.6289
0.0814,28.5983
0.0817,28.5845
0.082,28.5876
0.0823,28.6045
0.0826,28.6295
0.0829,28.6582
0.0832,28.687
0.0835,28.7113
0.0838,28.7268
0.0841,28.7335
0.0844,28.7315
0.0844,28.7241
0.0848,28.7155
0.0854,28.7069
0.0857,28.7014
0.0857,28.7006
0.0863,28.7068
0.0863,28.7203
0.0869,28.7445
0.0869,28.7798
0.0875,28.8256
0.0875,28.882
0.0878,28.9479
0.0881,29.022
0.0884,29.1033
0.089,29.1899
0.089,29.277
0.0893,29.3641
0.0896,29.4449
0.0899,29.5138
0.0902,29.5702
0.0906,29.6143
0.0912,29.6455
0.0912,29.6632
0.0915,29.6675
0.0918,29.6558
0.0921,29.63
0.0924,29.5898
0.0927,29.5368
0.093,29.4731
0.0933,29.4029
0.0936,29.3299
0.0939,29.2583
0.0942,29.1915
0.0945,29.1327
0.0948,29.0847
0.0951,29.0506
0.0954,29.032
0.0957,29.0282
0.096,29.0395
0.0963,29.0631
0.0967,29.0976
0.097,29.1438
0.0973,29.1978
0.0976,29.2551
0.0979,29.3125
0.0982,29.3667
0.0985,29.4134
0.0988,29.4536
0.0991,29.4841
0.0994,29.5051
0.0997,29.5185
0.1,29.5235
0.1003,29.5188
0.1006,29.5028
0.1009,29.4749
0.1012,29.4368
0.1012,29.3904
0.1015,29.3375
0.1019,29.2828
0.1021,29.2303
0.1025,29.1844
0.1028,29.1499
0.1031,29.1301
0.1034,29.1293
0.1037,29.1471
0.104,29.184
0.1043,29.2401
0.1046,29.3138
0.1049,29.4041
0.1052,29.5103
0.1055,29.6276
0.1058,29.7529
0.1061,29.8801
0.1064,29.9976
0.1067,30.0987
0.107,30.1767
0.1073,30.2292
0.1076,30.2551
0.1079,30.2533
0.1082,30.2261
0.1086,30.1813
0.1089,30.1224
0.1092,30.0538
0.1095,29.9805
0.1098,29.9056
0.1101,29.8322
0.1104,29.7623
0.1107,29.6968
0.111,29.6342
0.1113,29.5736
0.1116,29.5159
0.1119,29.4607
0.1122,29.4076
0.1125,29.3586
0.1128,29.3144
0.1131,29.2762
0.1134,29.2472
0.1138,29.228
0.114,29.2213
0.1144,29.2285
0.1147,29.251
0.115,29.2923
0.1153,29.3547
0.1156,29.4372
0.1159,29.538
0.1162,29.6551
0.1165,29.7834
0.1168,29.9183
0.1171,30.0546
0.1174,30.1814
0.1177,30.2915
0.1177,30.3808
0.118,30.4488
0.1183,30.4944
0.1186,30.5205
0.1189,30.5289
0.1192,30.5209
0.1195,30.4944
0.1199,30.4539
0.1202,30.3983
0.1205,30.3329
0.1208,30.262
0.1211,30.1918
0.1214,30.1248
0.1217,30.0605
0.122,29.9998
0.1223,29.9415
0.1226,29.886
0.1229,29.8339
0.1232,29.786
0.1235,29.7426
0.1238,29.7026
0.1241,29.6691
0.1244,29.6448
0.1247,29.6324
0.125,29.6337
0.1253,29.6499
0.1256,29.6796
0.126,29.7226
0.1263,29.7775
0.1266,29.8519
0.1269,29.9399
0.1272,30.0386
0.1275,30.1507
0.1278,30.2706
0.1281,30.3865
0.1284,30.49
0.1287,30.5773
0.129,30.6451
0.1293,30.6923
0.1296,30.7189
0.1299,30.7247
0.1302,30.7108
0.1305,30.6786
0.1308,30.63
0.1311,30.5679
0.1314,30.4964
0.1317,30.4197
0.1321,30.3405
0.1324,30.262
0.1327,30.1907
0.133,30.1302
0.1333,30.0826
0.1336,30.0469
0.1339,30.0212
0.1339,30.0087
0.1345,30.0005
0.1348,29.9911
0.1351,29.9799
0.1354,29.9686
0.1357,29.958
0.136,29.9484
0.136,29.943
0.1366,29.9435
0.1369,29.9513
0.1369,29.9688
0.1372,29.9964
0.1379,30.036
0.1379,30.0888
0.1382,30.1561
0.1385,30.2377
0.1388,30.3331
0.1391,30.4423
0.1394,30.5591
0.1397,30.6792
0.14,30.7968
0.1406,30.8998
0.1406,30.982
0.1409,31.0374
0.1412,31.0619
0.1415,31.0551
0.1418,31.0178
0.1421,30.9495
0.1424,30.8529
0.1427,30.7351
0.143,30.5989
0.1433,30.4505
0.1436,30.2981
0.144,30.1474
0.1443,30.0084
0.1446,29.8886
0.1449,29.7948
0.1452,29.7314
0.1455,29.701
0.1458,29.7042
0.1461,29.7392
0.1464,29.8041
0.1467,29.8917
0.147,29.9972
