identifier,electrolyte_type,component_names,existing_yaml_tags,inferred_svg_tags,yaml_file,svg_file
abd_1998_electrochemical_1103_f1_solid,aqueous,NaOH; water,BCV,BCV,literature/svgdigitizer/abd_1998_electrochemical_1103/abd_1998_electrochemical_1103_f1_solid.yaml,literature/svgdigitizer/abd_1998_electrochemical_1103/abd_1998_electrochemical_1103_f1_solid.svg
alves_2011_electrochemistry_6010_f2_red,aqueous,H2O; HClO4; CO,,COOR,literature/svgdigitizer/alves_2011_electrochemistry_6010/alves_2011_electrochemistry_6010_f2_red.yaml,literature/svgdigitizer/alves_2011_electrochemistry_6010/alves_2011_electrochemistry_6010_f2_red.svg
atkin_2009_afm_13266_f4a_solid,ionic liquid,BMPyr-TFSI,,BCV,literature/svgdigitizer/atkin_2009_afm_13266/atkin_2009_afm_13266_f4a_solid.yaml,literature/svgdigitizer/atkin_2009_afm_13266/atkin_2009_afm_13266_f4a_solid.svg
atkin_2009_afm_13266_f4b_solid,ionic liquid,EMIm-TFSI,,BCV,literature/svgdigitizer/atkin_2009_afm_13266/atkin_2009_afm_13266_f4b_solid.yaml,literature/svgdigitizer/atkin_2009_afm_13266/atkin_2009_afm_13266_f4b_solid.svg
berger_2017_lithium_261_f1_pink,ionic liquid,MPPip-TFSI; Li-TFSI,,BCV,literature/svgdigitizer/berger_2017_lithium_261/berger_2017_lithium_261_f1_pink.yaml,literature/svgdigitizer/berger_2017_lithium_261/berger_2017_lithium_261_f1_pink.svg
briega-martos_2018_understandings_j3045_f1a_black,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_black.svg
briega-martos_2018_understandings_j3045_f1a_blue,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_blue.svg
briega-martos_2018_understandings_j3045_f1a_green,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_green.svg
briega-martos_2018_understandings_j3045_f1a_red,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1a_red.svg
briega-martos_2018_understandings_j3045_f1b_black,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_black.svg
briega-martos_2018_understandings_j3045_f1b_blue,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_blue.svg
briega-martos_2018_understandings_j3045_f1b_green,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_green.svg
briega-martos_2018_understandings_j3045_f1b_red,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1b_red.svg
briega-martos_2018_understandings_j3045_f1c_black,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_black.svg
briega-martos_2018_understandings_j3045_f1c_blue,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_blue.svg
briega-martos_2018_understandings_j3045_f1c_green,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_green.svg
briega-martos_2018_understandings_j3045_f1c_red,aqueous,HClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1c_red.svg
briega-martos_2018_understandings_j3045_f1d_black,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_black.svg
briega-martos_2018_understandings_j3045_f1d_blue,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_blue.svg
briega-martos_2018_understandings_j3045_f1d_green,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_green.svg
briega-martos_2018_understandings_j3045_f1d_red,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1d_red.svg
briega-martos_2018_understandings_j3045_f1e_black,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_black.svg
briega-martos_2018_understandings_j3045_f1e_blue,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_blue.svg
briega-martos_2018_understandings_j3045_f1e_green,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_green.svg
briega-martos_2018_understandings_j3045_f1e_red,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1e_red.svg
briega-martos_2018_understandings_j3045_f1f_black,aqueous,HClO4; water; KClO4; NaF,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_black.svg
briega-martos_2018_understandings_j3045_f1f_blue,aqueous,HClO4; water; KClO4; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_blue.svg
briega-martos_2018_understandings_j3045_f1f_green,aqueous,HClO4; water; KClO4; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_green.svg
briega-martos_2018_understandings_j3045_f1f_red,aqueous,HClO4; water; KClO4; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1f_red.svg
briega-martos_2018_understandings_j3045_f1g_black,aqueous,HClO4; water; KClO4; NaF,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_black.svg
briega-martos_2018_understandings_j3045_f1g_blue,aqueous,HClO4; water; KClO4; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_blue.svg
briega-martos_2018_understandings_j3045_f1g_green,aqueous,HClO4; water; KClO4; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_green.svg
briega-martos_2018_understandings_j3045_f1g_red,aqueous,HClO4; water; KClO4; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1g_red.svg
briega-martos_2018_understandings_j3045_f1h_black,aqueous,HClO4; water; NaF,BCV,BCV,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_black.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_black.svg
briega-martos_2018_understandings_j3045_f1h_blue,aqueous,HClO4; water; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_blue.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_blue.svg
briega-martos_2018_understandings_j3045_f1h_green,aqueous,HClO4; water; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_green.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_green.svg
briega-martos_2018_understandings_j3045_f1h_red,aqueous,HClO4; water; NaF; KBr,BCV,"BCV, SHA",literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_red.yaml,literature/svgdigitizer/briega-martos_2018_understandings_j3045/briega-martos_2018_understandings_j3045_f1h_red.svg
briega-martos_2020_hydrogen_135452_f3_black,aqueous,water; HClO4,BCV,BCV,literature/svgdigitizer/briega-martos_2020_hydrogen_135452/briega-martos_2020_hydrogen_135452_f3_black.yaml,literature/svgdigitizer/briega-martos_2020_hydrogen_135452/briega-martos_2020_hydrogen_135452_f3_black.svg
briega-martos_2020_hydrogen_135452_f3_blue,aqueous,water; HClO4,BCV,BCV,literature/svgdigitizer/briega-martos_2020_hydrogen_135452/briega-martos_2020_hydrogen_135452_f3_blue.yaml,literature/svgdigitizer/briega-martos_2020_hydrogen_135452/briega-martos_2020_hydrogen_135452_f3_blue.svg
domke_2003_determination_115_f3b_dotted,aqueous,water; HClO4; Ar,,BCV,literature/svgdigitizer/domke_2003_determination_115/domke_2003_determination_115_f3b_dotted.yaml,literature/svgdigitizer/domke_2003_determination_115/domke_2003_determination_115_f3b_dotted.svg
durand_1992_situ_1977_f1a_solid,aqueous,water; HClO4; NaClO4; Cu; Ar,,BCV,literature/svgdigitizer/durand_1992_situ_1977/durand_1992_situ_1977_f1a_solid.yaml,literature/svgdigitizer/durand_1992_situ_1977/durand_1992_situ_1977_f1a_solid.svg
gomez-marin_2012_pt-111_558_f1_black,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f1_black.yaml,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f1_black.svg
gomez-marin_2012_pt-111_558_f1_red,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f1_red.yaml,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f1_red.svg
gomez-marin_2012_pt-111_558_f2_blue,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f2_blue.yaml,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f2_blue.svg
gomez-marin_2012_pt-111_558_f2_pink,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f2_pink.yaml,literature/svgdigitizer/gomez-marin_2012_pt-111_558/gomez-marin_2012_pt-111_558_f2_pink.svg
horswell_2004_comparative_10970_f1a_solid,aqueous,NaF; water; NaOH,BCV,BCV,literature/svgdigitizer/horswell_2004_comparative_10970/horswell_2004_comparative_10970_f1a_solid.yaml,literature/svgdigitizer/horswell_2004_comparative_10970/horswell_2004_comparative_10970_f1a_solid.svg
jovic_1999_cyclic_247_f1_dashed,aqueous,NaOH; water,BCV,BCV,literature/svgdigitizer/jovic_1999_cyclic_247/jovic_1999_cyclic_247_f1_dashed.yaml,literature/svgdigitizer/jovic_1999_cyclic_247/jovic_1999_cyclic_247_f1_dashed.svg
