identifier,electrolyte_type,component_names,svg_tags
abd_1998_electrochemical_1103_f1_solid,aqueous,NaOH; water,BCV
abe_2019_electro-oxidation_315_f2a1_black,aqueous,water; HClO4; N2,BCV
abe_2019_electro-oxidation_315_f2b1_black,aqueous,water; HClO4; N2,BCV
abe_2019_electro-oxidation_315_f2c1_black,aqueous,water; HClO4; N2,BCV
abe_2019_electro-oxidation_315_f3a1_black,aqueous,water; HClO4; N2,BCV
abe_2019_electro-oxidation_315_f3b1_black,aqueous,water; HClO4; N2,BCV
abe_2019_electro-oxidation_315_f4a1_black,aqueous,water; HClO4; N2,BCV
abe_2019_electro-oxidation_315_f4b1_black,aqueous,water; HClO4; N2,BCV
abou_2003_electrosorption_211_f1a_dotted,aqueous,KClO4; water,BCV
abou_2003_electrosorption_211_f1a_solid,aqueous,KClO4; water; KCl,"BCV, SHA"
alves_2011_electrochemistry_6010_f1a_solid,aqueous,H2O; HClO4,"BCV, HER"
alves_2011_electrochemistry_6010_f2_red,aqueous,H2O; HClO4; CO,COOR
atkin_2009_afm_13266_f4a_solid,ionic liquid,BMPyr-TFSI,BCV
atkin_2009_afm_13266_f4b_solid,ionic liquid,EMIm-TFSI,BCV
atkin_2011_situ_6849_f1_black,ionic liquid,BMPyr-FAP,BCV
atkin_2011_situ_6849_f1_inset,ionic liquid,BMPyr-FAP,BCV
atkin_2014_structure_44_f2a_black,ionic liquid,EMIm-FAP,BCV
atkin_2014_structure_44_f2b_black,ionic liquid,BMPyr-FAP,BCV
berger_2017_lithium_261_f1_black,ionic liquid,MPPip-TFSI; Li-TFSI,BCV
berger_2017_lithium_261_f1_inset,ionic liquid,MPPip-TFSI,BCV
berger_2017_lithium_261_f1_pink,ionic liquid,MPPip-TFSI; Li-TFSI,BCV
bi_2018_minimizing_1_f3a_black,ionic liquid,BMPyr-TFSI; water,BCV
bi_2018_minimizing_1_f3a_blue,ionic liquid,BMPyr-TFSI; water,BCV
bi_2018_minimizing_1_f3a_red,ionic liquid,BMPyr-TFSI; water,BCV
